VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=1778, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1800, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=1792, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=1766, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=17] allocated to server with id: 17
VirtualMachine [vmId=1784, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1767, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1783, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1771, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1769, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1774, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=1780, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1775, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=1773, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1779, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1805, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=1770, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1772, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1810, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=1787, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1799, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=1804, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=1777, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1788, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=1776, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=3] allocated to server with id: 3
VirtualMachine [vmId=1793, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=1768, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1798, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=1785, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=50, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=29, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=1] allocated to server with id: 1
VirtualMachine [vmId=51, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=54, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=42, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=60, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=66, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=39, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=8, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=47, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=7, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=57, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=35, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=53, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=63, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=27, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=45, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=1] allocated to server with id: 1
VirtualMachine [vmId=18, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=44, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=13, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=10, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=1] allocated to server with id: 1
VirtualMachine [vmId=26, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=23, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=14, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=9, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=24, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=15, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=38, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=21, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=48, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=30, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=20, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=33, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=17, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=16] allocated to server with id: 16
